stage,label,direction,lane_mask,requested_useful_bytes,encoded_transfer_bytes,sender_role,elapsed_ticks,timer_frequency_hz,elapsed_seconds,reported_legacy_bps,recomputed_encoded_ps_command_bps,recomputed_useful_ps_command_bps,measurement_class,diagnostic_only,eligible_for_scaling,source_path,source_sha256
P10-J,soak_00113_1048576_d1,R_TO_F,3,1048576,1048576,rotating,2405151277,333333343,7.215453621751845,1162589.137114199,1162589.137114199,1162589.137114199,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00114_4096_d0,F_TO_R,3,4096,4096,fixed,9801842,333333343,0.02940552514723977,1114348.4034351911,1114348.4034351911,1114348.4034351911,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00115_65536_d1,R_TO_F,3,65536,65536,rotating,150624642,333333343,0.45187391289565654,1160252.860450178,1160252.860450178,1160252.860450178,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00116_1048576_d0,F_TO_R,3,1048576,1048576,fixed,2404217724,333333343,7.212652962833064,1163040.5681829771,1163040.5681829771,1163040.5681829771,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00117_4096_d1,R_TO_F,3,4096,4096,rotating,9798422,333333343,0.02939526514753731,1114737.3509146676,1114737.3509146676,1114737.3509146676,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00118_65536_d0,F_TO_R,3,65536,65536,fixed,150649557,333333343,0.4519486578934889,1160060.9733939278,1160060.9733939278,1160060.9733939278,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00119_1048576_d1,R_TO_F,3,1048576,1048576,rotating,2404225908,333333343,7.212677514832352,1163036.6091856223,1163036.6091856223,1163036.6091856223,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00120_4096_d0,F_TO_R,3,4096,4096,fixed,9798173,333333343,0.029394518147558973,1114765.6796245587,1114765.6796245587,1114765.6796245587,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00121_65536_d1,R_TO_F,3,65536,65536,rotating,150626391,333333343,0.45187915989550437,1160239.388161295,1160239.388161295,1160239.388161295,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00122_1048576_d0,F_TO_R,3,1048576,1048576,fixed,2405152586,333333343,7.215457548751731,1162588.5043771372,1162588.5043771372,1162588.5043771372,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00123_4096_d1,R_TO_F,3,4096,4096,rotating,9803197,333333343,0.029409590147121887,1114194.3779589455,1114194.3779589455,1114194.3779589455,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
P10-J,soak_00124_65536_d0,F_TO_R,3,65536,65536,fixed,150684014,333333343,0.4520520288904912,1159795.7015850665,1159795.7015850665,1159795.7015850665,SOAK_WINDOW,False,False,evidence/hardware/p10/p10_formal_20260730T181535Z_03/stages/p10_j/stage_summary.json,f799b659b2f1a3502d7fa6544d49bae61b443420a0725df1bec451ae44ffd6f3
