run_id,date,stage,direction,lane_mask,session,bit_sha256,ltx_sha256,xsa_sha256,elf_sha256,CNT_CHIP_MAX,CNT_PREAMBLE,RX_DETECT_WINDOW,RX_DATA_PHASE_DELAY_CYCLES,RX_PREAMBLE_REALIGN_EDGE,IR_LANE_COUNT,IR_B_MODE,IR_PARALLEL_2LANE_MODE,B_SESSION_ID,IR_B_TX_LANE_MASK,IR_B_RX_LANE_MASK,IR_B_ACK_LANE_MASK,IR_B_EXPECTED_A_LANE_MASK,MAX_PACKET_BYTES,FRAGMENT_BYTES,MAX_FRAGS,MAX_FRAME_BYTES,GUARD_CYCLES,B_BACKOFF_SLOT_CYCLES,B_START_IDLE_CYCLES,B_RECOVERY_RESET_CYCLES,B2A_ENABLE,B2A_FREE_RUN,TX_ONLY_ACK_MODE,STREAM_FULL_MODE,MAX_RETRY,FRAG_TIMEOUT_CYCLES,PSPS_PAYLOAD_BYTES,PSPS_TX_ONLY,PSPS_TDM_BIDIR,PSPS_RX_ONLY,PSPS_INTER_PACKET_US,PSPS_STAGE_SECONDS,PSPS_MAX_OUTSTANDING,PSPS_WINDOW_START_GAP_US,PSPS_2LANE_ONLY,PSPS_STAGE_LANE_MASK,PSPS_STAGE_SESSION_ID,PSPS_PAYLOAD_LANE_MASK,PSPS_RX_LANE_MASK,PSPS_POLL_SLEEP_US,IR_TX_POLL_US,uart_mode,uart_payload_bytes,uart_rx_timeout_us,uart_stage_seconds,sent,rx_ok,tx_fail,rx_timeout,rx_bad,rx_mismatch,loss,win_rx_mbps,status,sticky,tx_lane,rx_good,rx_crc,rx_err,phy0,rec,txp,txi,txa,rxb,last_error,raw_a_tx0_edges,raw_a_tx1_edges,raw_a_rx0_edges,raw_a_rx1_edges,raw_b_tx0_edges,raw_b_tx1_edges,raw_b_rx0_edges,raw_b_rx1_edges,raw_a_tx0_high,raw_a_tx1_high,raw_a_rx0_low,raw_a_rx1_low,raw_b_tx0_high,raw_b_tx1_high,raw_b_rx0_low,raw_b_rx1_low,shutdown_ok,uart_log,ila_csv,ila_summary,vivado_config_log,vitis_build_log,summary_path,verdict
lane0_hw_loopback_safe_20260605_115153,2026-06-05 11:51:53,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,tx_only_halfduplex,247,500000,20,28372,28372,0,0,0,0,0.0%,2.799,0x00000001,0x00000001,0x000000FF,0x000000FF,0x00000000,0x00000000,0x5350FF13,,0x00000001,0x00000000,0x00000001,0x00000001,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_115153.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_115153.summary.txt,PASS
lane0_hw_loopback_safe_20260605_115655,2026-06-05 11:56:55,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,tx_only_halfduplex,247,500000,200,32632,32632,0,0,0,0,0.0%,2.799,0x00000001,0x00000001,0x000000FF,0x000000FF,0x00000000,0x00000000,0x5350FF13,,0x00000001,0x00000000,0x00000001,0x00000001,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_115655.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_115655.summary.txt,PASS
tenmin_unidirectional_avg_20260605_115655_120715,2026-06-05 11:56:55,,UNKNOWN,,,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\tenmin_unidirectional_avg_20260605_115655_120715.summary.txt,INCONCLUSIVE
lane0_hw_loopback_safe_20260605_120159,2026-06-05 12:01:59,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,tx_only_halfduplex,247,500000,200,32632,32632,0,0,0,0,0.0%,2.799,0x00000001,0x00000001,0x000000FF,0x000000FF,0x00000000,0x00000000,0x5350FF13,,0x00000001,0x00000000,0x00000001,0x00000001,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_120159.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_120159.summary.txt,PASS
lane0_hw_loopback_safe_20260605_120715,2026-06-05 12:07:15,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,tx_only_halfduplex,247,500000,200,32632,32632,0,0,0,0,0.0%,2.799,0x00000001,0x00000001,0x000000FF,0x000000FF,0x00000000,0x00000000,0x5350FF13,,0x00000001,0x00000000,0x00000001,0x00000001,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_120715.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_120715.summary.txt,PASS
lane0_hw_loopback_safe_20260605_134241,2026-06-05 13:42:41,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,stream_tdm_bidir,247,500000,20,28370,0,0,0,0,0,0.0%,0.000,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0xE9000FFF,,0x00000001,0x00000000,0x00000000,0x00000000,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_134241.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_134241.summary.txt,PASS
lane0_hw_loopback_safe_20260605_134531,2026-06-05 13:45:31,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,stream_tdm_bidir,247,500000,20,16072,0,0,0,0,0,0.0%,0.000,0x00000000,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0xE9000FFF,,0x00000000,0x00000000,0x00000001,0x00000000,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_134531.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_134531.summary.txt,PASS
lane0_hw_loopback_safe_20260605_134931,2026-06-05 13:49:31,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,sink,,,,,,,255,255,1,269,4096,,,,,,1,0,,,247,1,,,0,20,,,,,,,,,,stream_tdm_bidir,247,500000,20,1954,0,0,0,0,0,0.0%,0.000,0x00000000,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0xE8000F44,,0x00000000,0x00000000,0x00000001,0x00000000,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_134931.log,,,reports\vivado_configure_lane0_b_sink_restore_p64_g4096_20260605.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_134931.summary.txt,PASS
lane0_hw_loopback_safe_20260605_140526,2026-06-05 14:05:26,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,stream_bidir,,,,,,,256,255,2,269,1408,,,,,,0,1,,,247,1,,,0,20,,,,,,,,,,stream_tdm_bidir,248,500000,20,153,0,153,0,0,0,100.0%,0.000,0x00000000,0x00000088,0x00000000,0x00000000,0x000000FF,0x00000000,0xE8000000,,0x00000003,0x00000000,0x00000000,0x00000000,tx_dma_busy_timeout,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_140526.log,,,reports\vivado_config_stream_bidir_256frag255_20260605_135757.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_140526.summary.txt,FAIL
lane0_hw_loopback_safe_20260605_143947,2026-06-05 14:39:47,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,stream_bidir,,,,,,,255,255,1,269,1408,100000,,,,,0,1,,,247,1,,,0,20,,,,,,,,,,stream_tdm_bidir,247,500000,20,1938,0,0,0,0,0,0.0%,0.000,0x00000000,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0xE8010092,,0x00000000,0x00000000,0x00000001,0x00000000,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_143947.log,,,reports\vivado_config_stream_bidir_backoff_20260605_143003.out.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_143947.summary.txt,PASS
lane0_hw_loopback_safe_20260605_144857,2026-06-05 14:48:57,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,stream_bidir,,,,,,,255,255,1,269,1408,100000,,,,,0,1,,,247,1,,,0,20,,,,,,,,,,stream_tdm_bidir,247,500000,20,108,1321,7,0,0,0,6.4%,0.000,0x0000000C,0x00000002,0x00000000,0x000000FF,0x00000000,0x00000000,0xE3FFFF64,,0x00000000,0x00000000,0x00000001,0x00000001,tx_done_timeout,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_144857.log,,,reports\vivado_config_stream_bidir_backoff_20260605_143003.out.log,reports\vitis_build_ps_ps_loopback_lane0_txonly_247B_sink_20260605.log,reports\lane0_hw_loopback_safe_20260605_144857.summary.txt,FAIL
lane0_hw_loopback_safe_20260605_150810,2026-06-05 15:08:10,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,stream_bidir,,,,,,,255,255,1,269,1408,100000,100000,2048,,,0,1,,,247,,1,,10000,20,,,,,,,,,1,stream_tdm_bidir,247,500000,20,1845,1845,0,0,0,0,0.0%,0.190,0x00000000,0x00000003,0x00000001,0x00000002,0x00000000,0x00000000,0xE2C2C2C2,,0x00000000,0x00000000,0x00000001,0x00000000,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_150810.log,,,reports\vivado_config_stream_bidir_credit_20260605_150119.log,reports\vitis_build_psps_tdm_credit_20260605_150719.log,reports\lane0_hw_loopback_safe_20260605_150810.summary.txt,PASS
lane0_hw_loopback_safe_20260605_151639,2026-06-05 15:16:39,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,stream_bidir,,,,,,,255,255,1,269,1408,100000,100000,2048,,,0,1,,,247,,1,,1000,8,,,,,,,,,1,stream_tdm_bidir,247,500000,8,3,0,3,0,0,0,100.0%,0.000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0xE2F1F1F1,,0x00000000,0x00000000,0x00000001,0x00000001,tx_done_timeout,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_151639.log,,,reports\vivado_config_stream_bidir_credit_20260605_150119.log,reports\vitis_build_speed_ipg1000_20260605_151551.log,reports\lane0_hw_loopback_safe_20260605_151639.summary.txt,FAIL
lane0_hw_loopback_safe_20260605_151900,2026-06-05 15:19:00,1lane,A_TO_B_ACK_LOOP,0x00000001,0x2201,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,UNKNOWN_MUTABLE_ARTIFACT,7,64,,,,1,stream_bidir,,,,,,,255,255,1,269,1408,100000,100000,2048,,,0,1,,,247,,1,,5000,8,,,,,,,,,1,stream_tdm_bidir,247,500000,8,1543,1543,0,0,0,0,0.0%,0.379,0x00000004,0x00000003,0x00000001,0x00000002,0x00000000,0x00000000,0xE2151515,,0x00000000,0x00000000,0x00000001,0x00000001,none,,,,,,,,,,,,,,,,,1,C:\Users\user\Documents\RF_COMM\reports\uart_lane0_hw_loopback_safe_20260605_151900.log,,,reports\vivado_config_stream_bidir_credit_20260605_150119.log,reports\vitis_build_speed_ipg5000_20260605_151817.log,reports\lane0_hw_loopback_safe_20260605_151900.summary.txt,PASS
