ack_frames,active_lane_count,application_goodput_bps,chip_cycles,configured_aggregate_raw_bps,configured_raw_bps_per_lane,data_frames,direction,dma_rx_completion_ticks,dma_tx_completion_ticks,encoded_transfer_bytes,frame_admission_duty_guard_cycles,frame_admission_duty_guard_us,frame_goodput_bps,integrity_verify_ticks,label,lane_mask,object_runtime_seconds,payload_prepare_ticks,pl_completion_ticks,ps_command_seconds,ps_to_ps_useful_goodput_bps,rate_select,rx_pulse_window_max_cycles,rx_pulse_window_min_cycles,scheduler_lane0_frames,scheduler_lane1_frames,theoretical_ack_air_bits,theoretical_data_air_bits,theoretical_serial_airtime_seconds,tx_attempts,tx_pulse_cycles,tx_retries,useful_bytes,window_high_watermark
10000,1,462510.66282613296,32,1000000,1000000,10000,1,9376527134,9344737135,2470000,20480,320,462510.66282613296,677382630,lane0_d1_r0_10000f,1,42.72333934802316,4182472023,9376611994,42.72334090802311,462510.66282613296,0,31,0,10000,0,1920000,22320000,24.24,10000,8,0,2470000,32
1,1,156277.37670282472,16,2000000,2000000,1,1,86467,714,31,20480,320,156277.37670282472,12635,lane0_d1_r1_fixed_short,1,0.0015869219539792632,71625,154388,0.0015884069539361984,156277.37670282472,1,15,0,1,0,192,504,0.000348,1,8,0,31,1
1,1,562658.0859329219,16,2000000,2000000,1,1,393426,682,247,20480,320,562658.0859329219,59335,lane0_d1_r1_prbs,1,0.0035119018981548448,376079,444452,0.00351338689811178,562658.0859329219,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,582667.6023859883,16,2000000,2000000,1,1,393359,684,247,20480,320,582667.6023859883,59686,lane0_d1_r1_zero,1,0.003391298901652332,335544,444405,0.0033927809016093538,582667.6023859883,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,581203.83821121,16,2000000,2000000,1,1,393354,674,247,20480,320,581203.83821121,58968,lane0_d1_r1_one,1,0.0033998399014046428,339179,444352,0.003401330901361404,581203.83821121,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,577806.6848675767,16,2000000,2000000,1,1,393430,720,247,20480,320,577806.6848675767,60382,lane0_d1_r1_increment,1,0.0034198289008249617,344353,444449,0.003421313900781897,577806.6848675767,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
1,1,574327.29659092,16,2000000,2000000,1,1,393371,697,247,20480,320,574327.29659092,59551,lane0_d1_r1_binary,1,0.00344054690022414,352104,444402,0.003442040900180814,574327.29659092,1,15,0,1,0,192,2232,0.001212,1,8,0,247,1
100,1,643782.1778650668,16,2000000,2000000,100,1,53216322,35133038,24700,20480,320,643782.1778650668,5869688,lane0_d1_r1_100f,1,0.3069361140988527,40868854,53267353,0.3069376800988073,643782.1778650668,1,15,0,100,0,19200,223200,0.1212,100,8,0,24700,32
10000,1,645694.9130328838,16,2000000,2000000,10000,1,5336767507,5318467097,2470000,20480,320,645694.9130328838,672750225,lane0_d1_r1_10000f,1,30.602688051522048,4187465276,5336767806,30.602689605522002,645694.9130328838,1,15,0,10000,0,1920000,22320000,12.12,10000,8,0,2470000,32
1,1,179609.80292314946,8,4000000,4000000,1,1,52283,708,31,20480,320,179609.80292314946,12693,lane0_d1_r2_fixed_short,1,0.0013807709599576422,70812,86394,0.0013822589599144903,179609.80292314946,2,4,3,1,0,192,504,0.000174,1,8,0,31,1
1,1,682091.0568420704,8,4000000,4000000,1,1,205812,673,247,20480,320,682091.0568420704,59783,lane0_d1_r2_prbs,1,0.0028969739159877563,375107,239919,0.0028984559159447782,682091.0568420704,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,711768.9176372442,8,4000000,4000000,1,1,205778,698,247,20480,320,711768.9176372442,60170,lane0_d1_r2_zero,1,0.0027761819194907244,334487,239876,0.0027776669194476593,711768.9176372442,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,708533.2563499064,8,4000000,4000000,1,1,205784,716,247,20480,320,708533.2563499064,60252,lane0_d1_r2_one,1,0.0027888599191230623,338692,239885,0.002790341919080084,708533.2563499064,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,702978.9648151211,8,4000000,4000000,1,1,205801,738,247,20480,320,702978.9648151211,61020,lane0_d1_r2_increment,1,0.0028108949184840475,345227,239912,0.0028123799184409824,702978.9648151211,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
1,1,700455.138899612,8,4000000,4000000,1,1,205761,706,247,20480,320,700455.138899612,59131,lane0_d1_r2_binary,1,0.0028210229181903352,350566,239846,0.002822504918147357,700455.138899612,2,4,3,1,0,192,2232,0.000606,1,8,0,247,1
100,1,806621.0463304216,8,4000000,4000000,100,1,33031400,21801918,24700,20480,320,806621.0463304216,6813509,lane0_d1_r2_100f,1,0.24497253189579657,41448484,33065588,0.24497407389575185,806621.0463304216,2,4,3,100,0,19200,223200,0.0606,100,8,0,24700,32
10000,1,804712.5277962461,8,4000000,4000000,10000,1,3316580743,3305334036,2470000,20480,320,804712.5277962461,675343761,lane0_d1_r2_10000f,1,24.55535277189477,4188510198,3316614866,24.555354328894726,804712.5277962461,2,4,3,10000,0,1920000,22320000,6.06,10000,8,0,2470000,32
