ack_frames,active_lane_count,application_goodput_bps,chip_cycles,configured_aggregate_raw_bps,configured_raw_bps_per_lane,data_frames,direction,dma_rx_completion_ticks,dma_tx_completion_ticks,encoded_transfer_bytes,frame_admission_duty_guard_cycles,frame_admission_duty_guard_us,frame_goodput_bps,integrity_verify_ticks,label,lane_mask,object_runtime_seconds,payload_prepare_ticks,pl_completion_ticks,ps_command_seconds,ps_to_ps_useful_goodput_bps,rate_select,rx_pulse_window_max_cycles,rx_pulse_window_min_cycles,scheduler_lane0_frames,scheduler_lane1_frames,theoretical_ack_air_bits,theoretical_data_air_bits,theoretical_serial_airtime_seconds,tx_attempts,tx_pulse_cycles,tx_retries,useful_bytes,window_high_watermark
1,1,156412.5071927677,16,2000000,2000000,1,1,86470,759,31,20480,320,156412.5071927677,12540,lane1_d1_r1_fixed_short,2,0.0015855509540190224,71656,154414,0.0015870389539758703,156412.5071927677,1,15,0,0,1,192,504,0.000348,1,8,0,31,1
1,1,563053.9341551756,16,2000000,2000000,1,1,393332,663,247,20480,320,563053.9341551756,59181,lane1_d1_r1_prbs,2,0.0035094328982264457,375930,444358,0.003510929898183033,563053.9341551756,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
1,1,583775.8351979593,16,2000000,2000000,1,1,393422,700,247,20480,320,583775.8351979593,59395,lane1_d1_r1_zero,2,0.003384860901839034,334079,444441,0.003386357901795621,583775.8351979593,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
1,1,582212.8262731191,16,2000000,2000000,1,1,393352,681,247,20480,320,582212.8262731191,58972,lane1_d1_r1_one,2,0.003393947901575511,337579,444376,0.0033954419015321848,582212.8262731191,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
1,1,577568.5525927887,16,2000000,2000000,1,1,393381,681,247,20480,320,577568.5525927887,60443,lane1_d1_r1_increment,2,0.003421238900784072,345211,444412,0.00342272690074092,577568.5525927887,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
1,1,575251.230575883,16,2000000,2000000,1,1,393400,681,247,20480,320,575251.230575883,59648,lane1_d1_r1_binary,2,0.0034350209003843938,350611,444412,0.003436511900341155,575251.230575883,1,15,0,0,1,192,2232,0.001212,1,8,0,247,1
100,1,646297.0196821673,16,2000000,2000000,100,1,53216927,35122088,24700,20480,320,646297.0196821673,5874787,lane1_d1_r1_100f,2,0.3057417781334884,42441786,53267967,0.3057433411334431,646297.0196821673,1,15,0,0,100,19200,223200,0.1212,100,8,0,24700,32
10000,1,646091.3051931878,16,2000000,2000000,10000,1,5336566724,5318464981,2470000,20480,320,646091.3051931878,677738974,lane1_d1_r1_10000f,2,30.583912585066535,4175646617,5336617773,30.58391414506649,646091.3051931878,1,15,0,0,10000,1920000,22320000,12.12,10000,8,0,2470000,32
1,1,179742.1911384203,8,4000000,4000000,1,1,52265,677,31,20480,320,179742.1911384203,12733,lane1_d1_r2_fixed_short,2,0.0013797539599871352,70917,86350,0.001381241959943983,179742.1911384203,2,4,3,0,1,192,504,0.000174,1,8,0,31,1
1,1,682033.141184998,8,4000000,4000000,1,1,205812,701,247,20480,320,682033.141184998,60247,lane1_d1_r2_prbs,2,0.0028972199159806224,375228,239923,0.0028987079159374703,682033.141184998,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
1,1,711433.725163367,8,4000000,4000000,1,1,205843,712,247,20480,320,711433.725163367,59693,lane1_d1_r2_zero,2,0.0027774899194527923,335763,239988,0.00277897791940964,711433.725163367,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
1,1,709452.8694258494,8,4000000,4000000,1,1,205790,682,247,20480,320,709452.8694258494,60063,lane1_d1_r2_one,2,0.0027852449192278974,338067,239907,0.0027867359191846583,709452.8694258494,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
1,1,704654.5560601538,8,4000000,4000000,1,1,205787,695,247,20480,320,704654.5560601538,59629,lane1_d1_r2_increment,2,0.0028042109186778835,344828,239893,0.0028056989186347314,704654.5560601538,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
1,1,699630.76679459,8,4000000,4000000,1,1,205802,701,247,20480,320,699630.76679459,60233,lane1_d1_r2_binary,2,0.0028243469180939396,350952,239914,0.0028258349180507875,699630.76679459,2,4,3,0,1,192,2232,0.000606,1,8,0,247,1
100,1,802207.7085573634,8,4000000,4000000,100,1,33030026,21791798,24700,20480,320,802207.7085573634,5872665,lane1_d1_r2_100f,2,0.24632024585671286,42840531,33064155,0.24632181485666738,802207.7085573634,2,4,3,0,100,19200,223200,0.0606,100,8,0,24700,32
10000,1,803242.9154979944,8,4000000,4000000,10000,1,3316575695,3305330209,2470000,20480,320,803242.9154979944,679859338,lane1_d1_r2_10000f,2,24.600279216591904,4199711598,3316609830,24.600280779591856,803242.9154979944,2,4,3,0,10000,1920000,22320000,6.06,10000,8,0,2470000,32
