m0,direction,lane,current,candidate,candidate_bank,candidate_slot
21,3,0,21,20,5,0
21,3,1,25,24,6,0
21,3,2,29,28,7,0
21,3,3,1,0,0,0
21,3,4,5,4,1,0
21,3,5,9,8,2,0
21,3,6,13,12,3,0
21,3,7,17,16,4,0
22,2,0,22,23,5,3
22,2,1,26,27,6,3
22,2,2,30,31,7,3
22,2,3,2,3,0,3
22,2,4,6,7,1,3
22,2,5,10,11,2,3
22,2,6,14,15,3,3
22,2,7,18,19,4,3
22,3,0,22,21,5,1
22,3,1,26,25,6,1
22,3,2,30,29,7,1
22,3,3,2,1,0,1
22,3,4,6,5,1,1
22,3,5,10,9,2,1
22,3,6,14,13,3,1
22,3,7,18,17,4,1
23,2,0,23,24,6,0
23,2,1,27,28,7,0
23,2,2,31,0,0,0
23,2,3,3,4,1,0
23,2,4,7,8,2,0
23,2,5,11,12,3,0
23,2,6,15,16,4,0
23,2,7,19,20,5,0
23,3,0,23,22,5,2
23,3,1,27,26,6,2
23,3,2,31,30,7,2
23,3,3,3,2,0,2
23,3,4,7,6,1,2
23,3,5,11,10,2,2
23,3,6,15,14,3,2
23,3,7,19,18,4,2
24,2,0,24,25,6,1
24,2,1,28,29,7,1
24,2,2,0,1,0,1
24,2,3,4,5,1,1
24,2,4,8,9,2,1
24,2,5,12,13,3,1
24,2,6,16,17,4,1
24,2,7,20,21,5,1
24,3,0,24,23,5,3
24,3,1,28,27,6,3
24,3,2,0,31,7,3
24,3,3,4,3,0,3
24,3,4,8,7,1,3
24,3,5,12,11,2,3
24,3,6,16,15,3,3
24,3,7,20,19,4,3
25,2,0,25,26,6,2
25,2,1,29,30,7,2
25,2,2,1,2,0,2
25,2,3,5,6,1,2
25,2,4,9,10,2,2
25,2,5,13,14,3,2
25,2,6,17,18,4,2
25,2,7,21,22,5,2
25,3,0,25,24,6,0
25,3,1,29,28,7,0
25,3,2,1,0,0,0
25,3,3,5,4,1,0
25,3,4,9,8,2,0
25,3,5,13,12,3,0
25,3,6,17,16,4,0
25,3,7,21,20,5,0
26,2,0,26,27,6,3
26,2,1,30,31,7,3
26,2,2,2,3,0,3
26,2,3,6,7,1,3
26,2,4,10,11,2,3
26,2,5,14,15,3,3
26,2,6,18,19,4,3
26,2,7,22,23,5,3
26,3,0,26,25,6,1
26,3,1,30,29,7,1
26,3,2,2,1,0,1
26,3,3,6,5,1,1
26,3,4,10,9,2,1
26,3,5,14,13,3,1
26,3,6,18,17,4,1
26,3,7,22,21,5,1
27,2,0,27,28,7,0
27,2,1,31,0,0,0
27,2,2,3,4,1,0
27,2,3,7,8,2,0
27,2,4,11,12,3,0
27,2,5,15,16,4,0
27,2,6,19,20,5,0
27,2,7,23,24,6,0
27,3,0,27,26,6,2
27,3,1,31,30,7,2
27,3,2,3,2,0,2
27,3,3,7,6,1,2
27,3,4,11,10,2,2
27,3,5,15,14,3,2
27,3,6,19,18,4,2
27,3,7,23,22,5,2
28,2,0,28,29,7,1
28,2,1,0,1,0,1
28,2,2,4,5,1,1
28,2,3,8,9,2,1
28,2,4,12,13,3,1
28,2,5,16,17,4,1
28,2,6,20,21,5,1
28,2,7,24,25,6,1
28,3,0,28,27,6,3
28,3,1,0,31,7,3
28,3,2,4,3,0,3
28,3,3,8,7,1,3
28,3,4,12,11,2,3
28,3,5,16,15,3,3
28,3,6,20,19,4,3
28,3,7,24,23,5,3
29,2,0,29,30,7,2
29,2,1,1,2,0,2
29,2,2,5,6,1,2
29,2,3,9,10,2,2
29,2,4,13,14,3,2
29,2,5,17,18,4,2
29,2,6,21,22,5,2
29,2,7,25,26,6,2
29,3,0,29,28,7,0
29,3,1,1,0,0,0
29,3,2,5,4,1,0
29,3,3,9,8,2,0
29,3,4,13,12,3,0
29,3,5,17,16,4,0
29,3,6,21,20,5,0
29,3,7,25,24,6,0
30,2,0,30,31,7,3
30,2,1,2,3,0,3
30,2,2,6,7,1,3
30,2,3,10,11,2,3
30,2,4,14,15,3,3
30,2,5,18,19,4,3
30,2,6,22,23,5,3
30,2,7,26,27,6,3
30,3,0,30,29,7,1
30,3,1,2,1,0,1
30,3,2,6,5,1,1
30,3,3,10,9,2,1
30,3,4,14,13,3,1
30,3,5,18,17,4,1
30,3,6,22,21,5,1
30,3,7,26,25,6,1
31,2,0,31,0,0,0
31,2,1,3,4,1,0
31,2,2,7,8,2,0
31,2,3,11,12,3,0
31,2,4,15,16,4,0
31,2,5,19,20,5,0
31,2,6,23,24,6,0
31,2,7,27,28,7,0
31,3,0,31,30,7,2
31,3,1,3,2,0,2
31,3,2,7,6,1,2
31,3,3,11,10,2,2
31,3,4,15,14,3,2
31,3,5,19,18,4,2
31,3,6,23,22,5,2
31,3,7,27,26,6,2
